P1_Pos, P1_Cash, P1_Props, P2_Pos, P2_Cash, P2_Props
================================================== Simulated Game #0 ==================================================
13, 466, [17, 8, 16, 0, 6], 10, 0, [2, 7, 1, 3, 10, 13, 19, 14]
19, 438, [17, 8, 16, 0, 6], 10, 0, [2, 7, 1, 3, 10, 13, 19, 14]
19, 438, [17, 8, 16, 0, 6], 13, 0, [2, 7, 1, 3, 10, 13, 19, 14]
1, 434, [17, 8, 16, 0, 6], 13, 0, [2, 7, 1, 3, 10, 13, 19, 14]
1, 434, [17, 8, 16, 0, 6], 15, 0, [2, 7, 1, 3, 10, 13, 19, 14]
4, 434, [17, 8, 16, 0, 6], 15, 0, [2, 7, 1, 3, 10, 13, 19, 14]
4, 434, [17, 8, 16, 0, 6], 19, 0, [2, 7, 1, 3, 10, 13, 19, 14]
8, 434, [17, 8, 16, 0, 6], 19, 0, [2, 7, 1, 3, 10, 13, 19, 14]
8, 434, [17, 8, 16, 0, 6], 21, 0, [2, 7, 1, 3, 10, 13, 19, 14]
10, 418, [17, 8, 16, 0, 6], 21, 0, [2, 7, 1, 3, 10, 13, 19, 14]
10, 418, [17, 8, 16, 0, 6], 6, -10, [2, 7, 1, 3, 10, 13, 19, 14]
================================================== Simulated Game #3 ==================================================
0, 1500, [], 0, 1500, []
7, 1500, [], 0, 1500, []
7, 1500, [], 6, 1500, []
11, 1280, [11], 6, 1500, []
11, 1280, [11], 9, 1320, [9]
14, 1280, [11], 9, 1320, [9]
14, 1280, [11], 10, 1320, [9]
18, 1280, [11], 10, 1320, [9]
18, 1280, [11], 12, 1320, [9]
20, 930, [11, 20], 12, 1320, [9]
20, 930, [11, 20], 18, 1020, [9, 18]
1, 870, [11, 20, 1], 18, 1020, [9, 18]
1, 870, [11, 20, 1], 1, 1016, [9, 18]
6, 870, [11, 20, 1], 1, 1016, [9, 18]
6, 870, [11, 20, 1], 5, 1016, [9, 18]
9, 856, [11, 20, 1], 5, 1016, [9, 18]
9, 856, [11, 20, 1], 7, 1016, [9, 18]
16, 576, [11, 20, 1, 16], 7, 1016, [9, 18]
16, 576, [11, 20, 1, 16], 12, 796, [9, 18, 12]
0, 516, [11, 20, 1, 16, 0], 12, 796, [9, 18, 12]
0, 516, [11, 20, 1, 16, 0], 16, 772, [9, 18, 12]
6, 376, [11, 20, 1, 16, 0, 6], 16, 772, [9, 18, 12]
6, 376, [11, 20, 1, 16, 0, 6], 18, 772, [9, 18, 12]
8, 196, [11, 20, 1, 16, 0, 6, 8], 18, 772, [9, 18, 12]
8, 196, [11, 20, 1, 16, 0, 6, 8], 0, 768, [9, 18, 12]
12, 178, [11, 20, 1, 16, 0, 6, 8], 0, 768, [9, 18, 12]
12, 178, [11, 20, 1, 16, 0, 6, 8], 7, 768, [9, 18, 12]
16, 178, [11, 20, 1, 16, 0, 6, 8], 7, 768, [9, 18, 12]
16, 178, [11, 20, 1, 16, 0, 6, 8], 9, 768, [9, 18, 12]
0, 178, [11, 20, 1, 16, 0, 6, 8], 9, 768, [9, 18, 12]
0, 178, [11, 20, 1, 16, 0, 6, 8], 16, 744, [9, 18, 12]
4, 58, [11, 20, 1, 16, 0, 6, 8, 4], 16, 744, [9, 18, 12]
4, 58, [11, 20, 1, 16, 0, 6, 8, 4], 1, 736, [9, 18, 12]
6, 58, [11, 20, 1, 16, 0, 6, 8, 4], 1, 736, [9, 18, 12]
6, 58, [11, 20, 1, 16, 0, 6, 8, 4], 6, 726, [9, 18, 12]
11, 58, [11, 20, 1, 16, 0, 6, 8, 4], 6, 726, [9, 18, 12]
11, 58, [11, 20, 1, 16, 0, 6, 8, 4], 13, 486, [9, 18, 12, 13]
14, 58, [11, 20, 1, 16, 0, 6, 8, 4], 13, 486, [9, 18, 12, 13]
14, 58, [11, 20, 1, 16, 0, 6, 8, 4], 18, 486, [9, 18, 12, 13]
20, 58, [11, 20, 1, 16, 0, 6, 8, 4], 18, 486, [9, 18, 12, 13]
20, 58, [11, 20, 1, 16, 0, 6, 8, 4], 19, 486, [9, 18, 12, 13]
1, 58, [11, 20, 1, 16, 0, 6, 8, 4], 19, 486, [9, 18, 12, 13]
1, 58, [11, 20, 1, 16, 0, 6, 8, 4], 4, 478, [9, 18, 12, 13]
5, 58, [11, 20, 1, 16, 0, 6, 8, 4], 4, 478, [9, 18, 12, 13]
5, 58, [11, 20, 1, 16, 0, 6, 8, 4], 11, 460, [9, 18, 12, 13]
8, 58, [11, 20, 1, 16, 0, 6, 8, 4], 11, 460, [9, 18, 12, 13]
8, 58, [11, 20, 1, 16, 0, 6, 8, 4], 13, 460, [9, 18, 12, 13]
12, 40, [11, 20, 1, 16, 0, 6, 8, 4], 13, 460, [9, 18, 12, 13]
12, 40, [11, 20, 1, 16, 0, 6, 8, 4], 16, 436, [9, 18, 12, 13]
16, 40, [11, 20, 1, 16, 0, 6, 8, 4], 16, 436, [9, 18, 12, 13]
16, 40, [11, 20, 1, 16, 0, 6, 8, 4], 18, 436, [9, 18, 12, 13]
20, 40, [11, 20, 1, 16, 0, 6, 8, 4], 18, 436, [9, 18, 12, 13]
20, 40, [11, 20, 1, 16, 0, 6, 8, 4], 19, 436, [9, 18, 12, 13]
1, 40, [11, 20, 1, 16, 0, 6, 8, 4], 19, 436, [9, 18, 12, 13]
1, 40, [11, 20, 1, 16, 0, 6, 8, 4], 1, 428, [9, 18, 12, 13]
7, 40, [11, 20, 1, 16, 0, 6, 8, 4], 1, 428, [9, 18, 12, 13]
7, 40, [11, 20, 1, 16, 0, 6, 8, 4], 4, 420, [9, 18, 12, 13]
9, 26, [11, 20, 1, 16, 0, 6, 8, 4], 4, 420, [9, 18, 12, 13]
9, 26, [11, 20, 1, 16, 0, 6, 8, 4], 5, 420, [9, 18, 12, 13]
16, 26, [11, 20, 1, 16, 0, 6, 8, 4], 5, 420, [9, 18, 12, 13]
16, 26, [11, 20, 1, 16, 0, 6, 8, 4], 12, 420, [9, 18, 12, 13]
19, 26, [11, 20, 1, 16, 0, 6, 8, 4], 12, 420, [9, 18, 12, 13]
19, 26, [11, 20, 1, 16, 0, 6, 8, 4], 16, 396, [9, 18, 12, 13]
0, 26, [11, 20, 1, 16, 0, 6, 8, 4], 16, 396, [9, 18, 12, 13]
0, 26, [11, 20, 1, 16, 0, 6, 8, 4], 17, 96, [9, 18, 12, 13, 17]
6, 26, [11, 20, 1, 16, 0, 6, 8, 4], 17, 96, [9, 18, 12, 13, 17]
6, 26, [11, 20, 1, 16, 0, 6, 8, 4], 2, 96, [9, 18, 12, 13, 17]
9, 12, [11, 20, 1, 16, 0, 6, 8, 4], 2, 96, [9, 18, 12, 13, 17]
9, 12, [11, 20, 1, 16, 0, 6, 8, 4], 4, 88, [9, 18, 12, 13, 17]
11, 12, [11, 20, 1, 16, 0, 6, 8, 4], 4, 88, [9, 18, 12, 13, 17]
11, 12, [11, 20, 1, 16, 0, 6, 8, 4], 11, 70, [9, 18, 12, 13, 17]
17, -14, [11, 20, 1, 16, 0, 6, 8, 4], 11, 70, [9, 18, 12, 13, 17]
================================================== Simulated Game #4 ==================================================
0, 1500, [], 0, 1500, []
2, 1500, [], 0, 1500, []
2, 1500, [], 1, 1500, []
4, 1500, [], 1, 1500, []
4, 1500, [], 7, 1500, []
5, 1360, [5], 7, 1500, []
5, 1360, [5], 10, 1500, []
7, 1200, [5, 7], 10, 1500, []
7, 1200, [5, 7], 14, 1500, []
12, 1200, [5, 7], 14, 1500, []
12, 1200, [5, 7], 19, 1500, []
17, 1200, [5, 7], 19, 1500, []
17, 1200, [5, 7], 21, 1500, []
0, 1200, [5, 7], 21, 1500, []
0, 1200, [5, 7], 2, 1500, []
6, 1060, [5, 7, 6], 2, 1500, []
6, 1060, [5, 7, 6], 4, 1500, []
9, 880, [5, 7, 6, 9], 4, 1500, []
9, 880, [5, 7, 6, 9], 11, 1500, []
13, 640, [5, 7, 6, 9, 13], 11, 1500, []
13, 640, [5, 7, 6, 9, 13], 17, 1500, []
16, 640, [5, 7, 6, 9, 13], 17, 1500, []
16, 640, [5, 7, 6, 9, 13], 18, 1500, []
19, 640, [5, 7, 6, 9, 13], 18, 1500, []
19, 640, [5, 7, 6, 9, 13], 20, 1500, []
0, 580, [5, 7, 6, 9, 13, 0], 20, 1500, []
0, 580, [5, 7, 6, 9, 13, 0], 4, 1500, []
3, 480, [5, 7, 6, 9, 13, 0, 3], 4, 1500, []
3, 480, [5, 7, 6, 9, 13, 0, 3], 7, 1476, []
4, 360, [5, 7, 6, 9, 13, 0, 3, 4], 7, 1476, []
4, 360, [5, 7, 6, 9, 13, 0, 3, 4], 11, 1476, []
9, 360, [5, 7, 6, 9, 13, 0, 3, 4], 11, 1476, []
9, 360, [5, 7, 6, 9, 13, 0, 3, 4], 16, 1476, []
11, 140, [5, 7, 6, 9, 13, 0, 3, 4, 11], 16, 1476, []
11, 140, [5, 7, 6, 9, 13, 0, 3, 4, 11], 19, 1156, [19]
